"행정구역","2021년11월_총인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율"
"부산광역시 연제구 (2647000000)","205,742","92,850","          2.22","99,042","106,700","          0.93"
"부산광역시 연제구 거제제1동(2647061000)","29,336","11,424","          2.57","14,174","15,162","          0.93"
"부산광역시 연제구 거제제2동(2647062000)","12,258","4,575","          2.68","5,844","6,414","          0.91"
"부산광역시 연제구 거제제3동(2647063000)","10,018","4,701","          2.13","4,748","5,270","          0.90"
"부산광역시 연제구 거제제4동(2647064000)","10,462","4,171","          2.51","5,128","5,334","          0.96"
"부산광역시 연제구 연산제1동(2647065000)","16,646","7,096","          2.35","8,126","8,520","          0.95"
"부산광역시 연제구 연산제2동(2647066000)","20,872","9,261","          2.25","10,030","10,842","          0.93"
"부산광역시 연제구 연산제3동(2647067000)","7,248","3,768","          1.92","3,471","3,777","          0.92"
"부산광역시 연제구 연산제4동(2647068000)","16,185","8,598","          1.88","7,796","8,389","          0.93"
"부산광역시 연제구 연산제5동(2647069000)","16,607","10,169","          1.63","7,929","8,678","          0.91"
"부산광역시 연제구 연산제6동(2647070000)","16,754","8,168","          2.05","8,078","8,676","          0.93"
"부산광역시 연제구 연산제8동(2647072000)","14,143","6,195","          2.28","6,879","7,264","          0.95"
"부산광역시 연제구 연산제9동(2647073000)","35,213","14,724","          2.39","16,839","18,374","          0.92"
